stepNo,temperature,rate,wait_time,position,velocity
0,25,30,280,138,0.5
1,25,30,280,-138,0.5
2,25,30,280,138,0.5
3,25,30,280,-138,0.5
4,25,30,280,138,0.5
5,25,30,280,-138,0.5
6,25,30,280,138,0.5
7,25,30,280,-138,0.5
8,25,30,280,138,0.5
9,25,30,280,-138,0.5
10,25,30,280,138,0.5
11,25,30,280,-138,0.5
12,25,30,280,138,0.5
13,25,30,280,-138,0.5
14,25,30,280,138,0.5
15,25,30,280,-138,0.5
16,25,30,280,138,0.5
17,25,30,280,-138,0.5
18,25,30,280,138,0.5
19,25,30,280,-138,0.5
20,25,30,280,138,0.5
21,25,30,280,-138,0.5
22,25,30,280,138,0.5
23,25,30,280,-138,0.5
24,25,30,280,138,0.5
25,25,30,280,-138,0.5
26,25,30,280,138,0.5
27,25,30,280,-138,0.5
28,25,30,280,138,0.5
29,25,30,280,-138,0.5
30,25,30,280,138,0.5
31,25,30,280,-138,0.5
32,25,30,280,138,0.5
33,25,30,280,-138,0.5
34,25,30,280,138,0.5
35,25,30,280,-138,0.5
36,25,30,280,138,0.5
37,25,30,280,-138,0.5
38,25,30,280,138,0.5
39,25,30,280,-138,0.5
40,25,30,280,138,0.5
41,25,30,280,-138,0.5
42,25,30,280,138,0.5
43,25,30,280,-138,0.5
44,25,30,280,138,0.5
45,25,30,280,-138,0.5
46,25,30,280,138,0.5
47,25,30,280,-138,0.5
48,25,30,280,138,0.5
49,25,30,280,-138,0.5
50,25,30,280,138,0.5
51,25,30,280,-138,0.5
52,25,30,280,138,0.5
53,25,30,280,-138,0.5
54,25,30,280,138,0.5
55,25,30,280,-138,0.5
56,25,30,280,138,0.5
57,25,30,280,-138,0.5
58,25,30,280,138,0.5
59,25,30,280,-138,0.5
60,25,30,280,138,0.5
61,25,30,280,-138,0.5
62,25,30,280,138,0.5
63,25,30,280,-138,0.5
64,25,30,280,138,0.5
65,25,30,280,-138,0.5
66,25,30,280,138,0.5
67,25,30,280,-138,0.5
68,25,30,280,138,0.5
69,25,30,280,-138,0.5
70,25,30,280,138,0.5
71,25,30,280,-138,0.5
72,25,30,280,138,0.5
73,25,30,280,-138,0.5
74,25,30,280,138,0.5
75,25,30,280,-138,0.5
76,25,30,280,138,0.5
77,25,30,280,-138,0.5
78,25,30,280,138,0.5
79,25,30,280,-138,0.5
80,25,30,280,138,0.5
81,25,30,280,-138,0.5
82,25,30,280,138,0.5
83,25,30,280,-138,0.5
84,25,30,280,138,0.5
85,25,30,280,-138,0.5
86,25,30,280,138,0.5
87,25,30,280,-138,0.5
88,25,30,280,138,0.5
89,25,30,280,-138,0.5
90,25,30,280,138,0.5
91,25,30,280,-138,0.5
92,25,30,280,138,0.5
93,25,30,280,-138,0.5
94,25,30,280,138,0.5
95,25,30,280,-138,0.5
96,25,30,280,138,0.5
97,25,30,280,-138,0.5
98,25,30,280,138,0.5
99,25,30,280,-138,0.5
100,25,30,280,138,0.5
101,25,30,280,-138,0.5
