stepNo,temperature,rate,wait_time,position,velocity
0,25,30,698,349,0.5
1,25,30,698,-349,0.5
2,25,30,844,422,0.5
3,25,30,844,-422,0.5
4,25,30,990,495,0.5
5,25,30,990,-495,0.5
6,25,30,1136,568,0.5
7,25,30,1136,-568,0.5
8,25,30,1282,641,0.5
9,25,30,1282,-641,0.5
10,25,30,1428,714,0.5
11,25,30,1428,-714,0.5
12,25,30,1574,787,0.5
13,25,30,1574,-787,0.5
14,25,30,1720,860,0.5
15,25,30,1720,-860,0.5
16,25,30,1866,933,0.5
17,25,30,1866,-933,0.5
18,25,30,2012,1006,0.5
19,25,30,2012,-1006,0.5
20,25,30,2158,1079,0.5
21,25,30,2158,-1079,0.5
22,25,30,2304,1152,0.5
23,25,30,2304,-1152,0.5
24,25,30,2450,1225,0.5
25,25,30,2450,-1225,0.5
26,25,30,2596,1298,0.5
27,25,30,2596,-1298,0.5
28,25,30,2742,1371,0.5
29,25,30,2742,-1371,0.5
30,25,30,2888,1444,0.5
31,25,30,2888,-1444,0.5
32,25,30,3034,1517,0.5
33,25,30,3034,-1517,0.5
34,25,30,3180,1590,0.5
35,25,30,3180,-1590,0.5
36,25,30,3326,1663,0.5
37,25,30,3326,-1663,0.5
38,25,30,3472,1736,0.5
39,25,30,3472,-1736,0.5
40,25,30,3618,1809,0.5
41,25,30,3618,-1809,0.5
42,25,30,3764,1882,0.5
43,25,30,3764,-1882,0.5
44,25,30,3910,1955,0.5
45,25,30,3910,-1955,0.5
46,25,30,4056,2028,0.5
47,25,30,4056,-2028,0.5
48,25,30,4202,2101,0.5
49,25,30,4202,-2101,0.5
50,25,30,4348,2174,0.5
51,25,30,4348,-2174,0.5
